,0,1,2,3,4,5,6,7
126,23:15,5/10/83,Bremerton,WA,Triangle,5 seconds,Triangular-shaped object moving in perfect silence in the night sky,5/12/11
127,19:45,7/4/77,Toppenish,WA,Disk,5 minutes,real people inside a real u.f.o. I identified it as a i.f.o IN 1977,5/12/11
128,21:00,6/15/77,Gaithersburg,MD,Oval,15 minutes,Summer of 1977 I saw a large oval black object hovering just over the tree tops going very slowly.,5/12/11
129,22:00,6/30/75,Taupo (New Zealand),,Egg,90 seconds,"It was a clear sky, no moon, I was 20kms from this huge electric green light bulb that appeared in the nothern sky - from where I was s",5/12/11
130,20:00,6/20/74,Fort Scott,KS,Diamond,5 minutes,"My youngest sister and I were arguing at the front door, when my brother said ""shut-up"" and pushed us out the door. The sound of a cras",5/12/11
131,22:00,7/15/68,Columbus,MS,Other,15 min.,"on the night a buddy and me saw said ufo, it was approx. 5 feet above power lines going only about 5 miles per hour. It had no visible",5/12/11
132,15:00,6/1/64,Sallisaw,OK,Light,30 minutes,"''ON ICE PROJECT'' - UNDERGROUND CITY, 3 ET's - 2 were KIA in CRASH and 1 ALIVE POW DIED LATER, MILITARY INSTALLATION,",5/12/11
133,01:10,Texarkana,AR,Triangle,,"((HOAX??)) It was about 110 clock at night when i saw this triangle ufo going over, it made no noise, but i could see indide of it.",5/12/11,
134,21:00,5/1/11,Columbia,MO,Fireball,2 minutes,A ball of light looked like it was hovering very high and then took off to the South.,5/2/11
135,16:59,5/1/11,San Jose,CA,Sphere,12 min,white/red orb (photos taken),5/2/11
136,01:45,5/1/11,Richmond,VA,Formation,20,Three white lights counter clockwise in sky making a Y shape.,5/2/11
137,00:55,5/1/11,Pocatello,ID,Light,three minutes,I saw several bright red lights in the WNW sky that didn't blink and faded in less than three minutes from the time I first spotted the,5/2/11
138,00:20,5/1/11,Dearborn,MI,Circle,current,Is this a commercial attempt at advertising?,5/2/11
139,23:40,4/30/11,Seattle,WA,Formation,30 seconds,V-Shaped Formation of Objects Over Seattle,5/2/11
140,23:00,4/30/11,Springdfield,OR,Light,ongoing,need help to identify sky light,5/2/11
141,22:30,4/30/11,Nampa,ID,Chevron,+/- 5 min.,Lights many times brighter than the backgroung of stars!,5/2/11
142,22:30,4/30/11,Miami,FL,Unknown,2 minutes,"Strange Orange/Red Lights over Redlands, Florida tonight! About 10-12 of them",5/2/11
143,22:20,4/30/11,Saegertown,PA,,11 seconds,Bright blue light shoots across Pennsylvania sky causing power outages and stopping car engines. ((NUFORC Note: 2nd witness. PD)),5/2/11
144,22:20,4/30/11,Saegertown,PA,Light,10 seconds,Bright blue light shoots across Pennsylvania sky causing power outages and stopping car engines,5/2/11
145,21:00,4/30/11,Nashville,TN,Fireball,1 min. 30 sec.,Orange/Yellow fireball or flame inside round shape spotted in East Nashville traveling in steady pace.,5/2/11
146,20:30,4/30/11,Nashville,TN,Fireball,10 minutes,"Fireballs over East Nashville, TN",5/2/11
147,20:22,4/30/11,Las Vegas,NV,Unknown,4-6 seconds,"I saw something flame and fall from the sky. It was either a Meteor, space junk, or an airplane.",5/2/11
148,18:00,4/30/11,Grandview,WA,Other,Not seen,"Black barrel shaped object, appearing in photo",5/2/11
149,03:05,4/30/11,Portland,OR,Other,30 seconds,moving star without blinking?,5/2/11
150,02:07,4/30/11,Santa Fe,NM,Light,15 seconds,"on April 30th at 2:07 a.m., 8-10 lights in a boomerang formation was seen hovering the skies of Santa Fe, New Mexico.",5/2/11
151,23:30,4/29/11,St. Charles,MO,Triangle,unknown,"St. Charles, off MO-94 (Friedens Rd), three triangle shaped white lights hover above the road",5/2/11
152,23:30,4/29/11,Dearborn Heights,MI,Other,2 hours,The unusual lights in the sky had sounds of static as it passed over or through the clouds. ((NUFORC Note: Advertising lights. PD)),5/2/11
153,22:35,4/29/11,Starkville,MS,Circle,8 min,Orange circles flying from SE to NW in a straight line.,5/2/11
154,22:15,4/29/11,Savannah,GA,Cone,30 minutes,"Cone shaped object with fire heading East over Savannah, Georgia and Tybee Island, Georgia",5/2/11
155,22:05,4/29/11,Gainesville,FL,Rectangle,15 sec.,"If it was a meteor, it was very strange, slow and large????",5/2/11
156,22:00,4/29/11,Apex,NC,Triangle,on going,Going on ten min now west sky ovet apex. Hoovering aprox 2500 feet.wow. its not of this world.,5/2/11
157,22:00,4/29/11,Altamonte Springs,FL,Fireball,7 seconds,From the siting you would be able to determine where it entered and how low it was before it vanished,5/2/11
158,21:15,4/29/11,Alamo,TN,Formation,10 minutes,"Yellow to Red lights floating in formation over Alamo, TN.",5/2/11
159,21:05,4/29/11,Marianna,FL,Fireball,5 seconds,Probable space junk falling to earth,5/2/11
160,20:55,4/29/11,Midway,GA,Diamond,4 min,dancing hummingbirds,5/2/11
161,20:45,4/29/11,San Jose,CA,Fireball,5-10 mins,15-20 orange glowing objects travelling across the night sky.,5/2/11
162,20:30,4/29/11,Emporia,KS,Unknown,2 seconds,"UFO moving east to west over Emporia, KS",5/2/11
163,03:00,4/29/11,Hialeah,FL,Fireball,1-2 seconds,"A green fireball fell from the sky in the distance, with no trail or tail.",5/2/11
164,21:40,4/28/11,Los Angeles,CA,Circle,10 minutes,Big orange orbs flying over Los Angeles,5/2/11
165,21:35,4/28/11,Colorado Springs,CO,Light,45 seconds,A bright blue object crossing to the northwest.,5/2/11
166,21:00,4/28/11,Cannon Falls,MN,Light,2 hours,"I saw a light in sky that looks slightly bigger than the stars, didnt move but was changing colors. looked like the colors included red",5/2/11
167,19:30,4/28/11,Cabot,PA,Sphere,10 seconds,"Round blob shaped UFO spotted in evening sky over Butler County, PA.",5/2/11
168,17:57,4/28/11,Liverpool (Kirkdale) (UK/England),,Disk,5 sec,VERY VISIBLE!,5/2/11
169,12:00,4/28/11,Aledo,IL,Sphere,about one minute,"Four white metalic spheres with red glass-ish window on the front heading East over Aledo, Il.",5/2/11
170,23:00,4/27/11,Flint,MI,Light,3 minutes,Bright low flying light over Flint Michigan,5/2/11
171,08:35,4/27/11,Warsaw (Poland),,Formation,15 minutes,5 orange lights in formation over the Warsaw,5/2/11
172,06:30,4/27/11,Fairhaven,MA,,,((HOAX??)) Appeared to have control over it's movements.,5/2/11
173,23:10,4/26/11,San Jose,CA,Light,5 mins,San Jose - red object in sky heading south.,5/2/11
174,22:05,4/26/11,Screven,GA,Fireball,2 min,orange and white fireball,5/2/11
175,21:00,4/26/11,Rockland,NY,Light,10 sec,odd,5/2/11
176,13:44,4/26/11,Weston (I-75),FL,Sphere,2 minutes,Dancing UFO's,5/2/11
177,03:00,4/26/11,Wilkes-Barre,PA,Rectangle,10 seconds,Rectangular object with round lights in it flying low altitude at a high rate of speed over Wilkes-Barre sky's,5/2/11
178,00:30,4/26/11,Pacoima/Tujunga,CA,Disk,3-4 Hours on and off,"Faint red disc shape seen multiple times in a long span of time, over mountains and dam.",5/2/11
179,00:30,4/26/11,Stillwater,MN,Sphere,less then a minute,greenish white orb/sphere appeared and disappeared over highway in Stillwater MN around 12:30 am,5/2/11
180,21:52,4/25/11,Rockwall,TX,Rectangle,8-12 seconds,Rectangular object soaring silently with no lights or sound and with a digital camouflage pattern,5/2/11
181,20:00,4/25/11,Carpinteria,CA,Disk,10 minutes,Disc in sky,5/2/11
182,20:00,4/25/11,Carpinteria,CA,Disk,10 minutes,Silver disc/saucer in sky,5/2/11
183,23:12,4/24/11,L'Anse,MI,Formation,30 seconds,so low to the house I could of hit it with a rock.,5/2/11
184,23:12,4/24/11,L'Anse,MI,Oval,30 seconds,HUGE BRIGHT LIGHTS SILENT UNTIL RIGHT ON TOP OF YOU.,5/2/11
185,22:30,4/24/11,Stuart,FL,Triangle,4 minutes,"Triangular shaped craft over Sewals point . Stuart, Fl",5/2/11
186,17:30,4/24/11,Vinita Park,MO,Circle,30 mins,we saw a black disk shape object in the sky circle in shape hovering over some kids on the basketball court moving around.,5/2/11
187,15:00,4/24/11,Harrogate (UK/England),,Disk,5 mins,ufo's shock family,5/2/11
188,15:00,4/24/11,Applachian Mountains,NC,,5 Sec.,((HOAX/STUDENT REPORT)) Flyby of a Dead Alien w/ Red Blood on it.,5/2/11
189,11:45,4/24/11,Tinley Park,IL,Rectangle,1 minute,Black rectangle object moving from Southeast to Northwest.,5/2/11
190,00:30,4/24/11,Ocala,FL,Triangle,about 20 sec,"Two witnesses observe a triangular object, with three faint orange/red lights.",5/2/11
191,00:04,4/24/11,Round Rock,TX,Teardrop,10 sec.,"cluster of small dots tinted yellow, glowing, looked like it disappeared under blanket at night.",5/2/11
192,23:27,4/23/11,Yakima,WA,Diamond,38 minutes,Two round orbs of light shifting in area,5/2/11
193,22:45,4/23/11,Palm Beach Gardens,FL,Light,15 minutes,"Bobbing red, blue and white light seen west of Palm Beach Gardens, FL.",5/2/11
194,21:00,4/23/11,Murfreesboro,TN,Rectangle,30 minutes,"12 to 15 orange fiery object over Murfreesboro, TN",5/2/11
195,20:22,4/23/11,Lodi,CA,Changing,16 min,"bright object eradically zig zaging in sky around airplanes, almost strobing light effect. above lodi,ca",5/2/11
196,19:13,4/23/11,West Drayton (UK/England),,Rectangle,??,ufo sighting during a storm,5/2/11
197,11:39,4/23/11,Pembroke,VA,Oval,23 seconds,An oval hover craft was above one of the buildings in Pembroke. It has lights going around in a circle. It went in a circle one more ti,5/2/11
198,22:30,4/22/11,Cordova,TN,Other,2 min.,Silent grey triangular shaped craft sighted moving slowly above a quiet neighborhood,5/2/11
199,22:00,4/22/11,Topeka,KS,Fireball,3 sec,"Bright, fast moving object over my head became even brighter before blinking out",5/2/11
200,22:00,4/22/11,Denver (west of),CO,Other,20-30 min.,large bright flashing object with pertruding light ray underneath west of denver travelling south west.,5/2/11
201,21:30,4/22/11,Hampton (Canada),NB,Light,3 min,Bright light NE of Hampton elavation 40 degrees heading E rising then north.,5/2/11
